,Complete,Complete/Single-Copy,Complete/Duplicated,Fragmented,Missing,Total,Complete_BUSCO_perc,CompleteSingleCopy_perc,CompleteDuplicated_perc,Fragmented_perc,Missing_perc
F_diaphanus,948,458,490,25,5,978,96.93251533742331,46.830265848670756,50.10224948875256,2.556237218813906,0.5112474437627812
F_sciadicus,960,477,483,11,7,978,98.15950920245399,48.77300613496933,49.38650306748466,1.1247443762781186,0.7157464212678937
F_chrysotus,948,372,576,23,7,978,96.93251533742331,38.036809815950924,58.895705521472394,2.3517382413087935,0.7157464212678937
F_zebrinus,965,459,506,5,8,978,98.67075664621677,46.93251533742331,51.738241308793455,0.5112474437627812,0.81799591002045
F_heteroclitusMDPP,944,368,576,27,7,978,96.52351738241309,37.627811860940696,58.895705521472394,2.7607361963190185,0.7157464212678937
F_similis,950,440,510,23,5,978,97.13701431492842,44.989775051124745,52.14723926380368,2.3517382413087935,0.5112474437627812
F_rathbuni,963,338,625,10,5,978,98.46625766871165,34.56032719836401,63.90593047034765,1.0224948875255624,0.5112474437627812
F_notatus,948,348,600,26,4,978,96.93251533742331,35.58282208588957,61.34969325153374,2.658486707566462,0.408997955010225
F_olivaceous,960,381,579,11,7,978,98.15950920245399,38.95705521472393,59.20245398773007,1.1247443762781186,0.7157464212678937
L_goodei,955,413,542,17,6,978,97.6482617586912,42.22903885480573,55.419222903885476,1.738241308793456,0.6134969325153374
A_xenica,953,352,601,20,5,978,97.4437627811861,35.991820040899796,61.451942740286306,2.044989775051125,0.5112474437627812
L_parva,958,425,533,14,6,978,97.95501022494888,43.4560327198364,54.49897750511248,1.4314928425357873,0.6134969325153374
F_heteroclitusMDPL,942,351,591,31,5,978,96.31901840490798,35.88957055214724,60.42944785276073,3.1697341513292434,0.5112474437627812
F_parvapinis,966,371,595,8,4,978,98.77300613496932,37.93456032719836,60.83844580777096,0.81799591002045,0.408997955010225
F_notti,947,590,357,17,14,978,96.83026584867076,60.32719836400818,36.50306748466258,1.738241308793456,1.4314928425357873
F_catanatus,939,366,573,32,7,978,96.0122699386503,37.423312883435585,58.58895705521472,3.2719836400818,0.7157464212678937
F_grandis,932,309,623,41,5,978,95.29652351738241,31.595092024539877,63.70143149284253,4.192229038854806,0.5112474437627812
